kegg_id,metatlas_inchi_key
C05431,ATCICVFRSJQYDV-XILUKMICSA-N
C09000,ATDBDSBKYKMRGZ-ZDUSSCGKSA-N
C15758,ATDILMLBOZKFGI-JUTMVFGESA-N
C09150,ATEDUZJBBLDWGB-MVJPYGJCSA-N
C03093,ATEFPOUAMCWAQS-UHFFFAOYSA-N
C00315,ATHGHQPFGPMSJY-UHFFFAOYSA-N
C11489,ATHHXGZTWNVVOU-UHFFFAOYSA-N
C09163,ATHWSPHADLLZSS-PXNSSMCTSA-N
C09753,ATJOIGKHVRPLSM-RBUKOAKNSA-N
C10862,ATKYNAZQGVYHIB-MLGYPOCJSA-N
"C12815
C17058",ATLJNLYIJOCWJE-NEKURZDCSA-N
C16996,ATONBUGCNDSBBC-UHFFFAOYSA-N
C15733,ATQKOUYCGKRYRF-GDDXYXLTSA-N
C10004,ATQXXRJEZULCTG-DLCFQVRISA-N
C18757,ATROHALUCMTWTB-OWBHPGMISA-N
C08537,ATSKDYKYMQVTGH-POBNKHOBSA-O
C04675,ATTJZXQHBIJXLV-AWVQIHIZSA-N
C19147,ATTZFSUZZUNHBP-UHFFFAOYSA-N
C05266,ATVGTMKWKDUCMS-FZQVHTIWSA-N
C05266,ATVGTMKWKDUCMS-KVLJZHGYSA-N
C05641,ATWKTZAAIUROID-OWOJBTEDSA-N
C05641,ATWKTZAAIUROID-UHFFFAOYSA-N
C12811,ATXHVCQZZJYMCF-XUDSTZEESA-N
C03428,ATZKAUGGNMSCCY-VVFNRDJMSA-N
C03428,ATZKAUGGNMSCCY-VYCBRMPGSA-N
C16906,AUBPMADJYNSPOA-UHFFFAOYSA-N
C19154,AUEILLWDYUBWCM-XQQFMLRXSA-N
C00234,AUFGTPPARQZWDO-YPMHNXCESA-N
C14930,AUFJJDNCJZQOKS-ZESOOZHZSA-N
C12362,AUFLXWXLMRKZJC-UHFFFAOYSA-N
C09662,AUGQEEXBDZWUJY-ZLJUKNTDSA-N
